date,ret,n,equity
2024-11-05,0.003406619385852153,5,23033.125837516192
2024-11-06,-0.028215229406337618,5,22383.24090806563
2024-11-07,0.008326627910845255,5,22569.617826545902
2024-11-08,-0.012077061591053758,5,22297.043161968162
2024-11-11,-0.005870417607176089,5,22166.15020720218
2024-11-12,-0.013911703921133552,5,21857.781288448212
2024-11-13,-0.011904095765084253,5,21597.58416677826
2024-11-14,0.0010531052306395866,5,21620.32869563347
2024-11-15,-0.013321140520189142,5,21332.32125898626
2024-11-18,-0.003313947051400587,5,21261.627075850512
2024-11-19,0.00185982298567334,3,21301.169938598996
2024-11-20,-0.011086348935085963,5,21065.017735934125
2024-11-21,0.0019823473454312263,5,21106.775917924413
2024-11-22,-0.002554741092045684,5,21052.853570166295
2024-11-25,-0.007831014503188979,5,20887.988368524806
2024-11-26,-0.007036152847558283,5,20741.017289685846
2024-11-27,-0.005176255262556592,5,20633.656489789333
2024-11-28,-0.007990533680614073,5,20468.782562653447
2024-11-29,-0.006387494490770881,5,20338.03832680171
2024-12-02,0.01306633979800972,5,20603.78204640465
2024-12-03,0.004102055133856656,5,20688.299896324967
2024-12-04,0.000743808435899044,5,20703.688028312263
2024-12-05,0.0024797569462898274,5,20755.028142514286
2024-12-06,0.0007069103702187641,5,20769.700087142413
2024-12-09,-0.00683211906175257,5,20627.799023270163
2024-12-10,-0.008937819404621225,5,20443.431480885352
2024-12-11,-0.004313773408578022,5,20355.243149783022
2024-12-12,-0.006450137798442532,5,20223.94902654612
2024-12-13,-0.010909914532581996,5,20003.307471155207
2024-12-16,-0.0049472737463201,5,19904.345633263594
2024-12-17,-0.005092673457791461,5,19802.979300562365
2024-12-18,-0.003979856984151183,5,19724.166275086023
2024-12-19,-0.01325946538776289,5,19462.63437505904
2024-12-20,0.002368883091534061,5,19508.739080546824
2024-12-23,-0.0015565308083694237,5,19478.373127135514
2024-12-27,-0.0076711047987442745,5,19328.952485568214
2024-12-30,-0.0020021481841779065,5,19290.253058447175
2025-01-02,0.000257461423289743,5,19295.21955445522
2025-01-03,-0.006132858285787588,5,19176.884707334586
2025-01-07,-0.004789476675968326,5,19085.037465311074
2025-01-08,-0.008535536408152309,5,18922.13643317496
2025-01-09,0.004322758035243015,5,19003.93225048543
2025-01-10,-0.008819546080073945,5,18836.326194299672
2025-01-13,-0.003241583736872075,5,18775.266665645813
2025-01-14,-0.006108711979265133,5,18660.573969251484
2025-01-15,0.02486426761479265,5,19124.555474268585
2025-01-16,0.00010879326965180045,5,19126.636097189265
2025-01-17,0.0004625346913347407,5,19135.48282991275
2025-01-20,-0.0036582722094995997,5,19065.480024860724
2025-01-21,-0.001873202368386892,5,19029.766522523725
2025-01-22,-0.0035228295768800905,5,18962.727898177058
2025-01-23,0.00590906086137725,5,19074.77981142512
2025-01-24,-0.013007113451684113,5,18826.67198635202
2025-01-27,-0.003571279754225095,5,18759.436673847722
2025-01-28,-0.004418611289588434,5,18676.546015174343
2025-01-29,-0.007210542345165702,5,18541.87798927049
2025-01-30,-0.00299285299654067,5,18486.384874168813
2025-01-31,-0.007207665084912715,5,18353.14120336501
2025-02-03,-0.006765188745390657,5,18228.97873905344
2025-02-04,-0.001143513657372627,5,18208.133652905377
2025-02-05,0.0061541432843122,5,18320.18911634526
2025-02-06,0.007030860389044205,5,18448.995808323172
2025-02-07,-0.010131805465105512,5,18262.074171766693
2025-02-10,0.001348130333322232,5,18286.693827907035
2025-02-11,-0.0034224178919773558,5,18224.109119765293
2025-02-12,-0.009684069774962441,5,18047.625575462956
