date,action,spot,cashflow,n_contracts
2018-01-25,COVER_CLOSE,1604.489990234375,-163.54755668415396,1
2018-01-25,OPEN,1604.489990234375,-135.08542365084514,1
2018-02-05,COVER_CLOSE,1546.3299560546875,-573.6443981880223,1
2018-02-05,OPEN,1546.3299560546875,-35.76851045000592,1
2018-02-14,COVER_CLOSE,1532.1500244140625,-455.91667183115095,1
2018-02-14,OPEN,1532.1500244140625,563.0309672381385,1
2018-02-21,ROLL_PUT_SIDE,1575.1199951171875,346.42447684119156,1
2018-02-23,COVER_CLOSE,1577.1099853515625,-1344.1403882331329,1
2018-02-23,OPEN,1577.1099853515625,596.3845926947183,1
2018-03-02,ROLL_CALL_SIDE,1526.4599609375,405.5371636459362,1
2018-03-05,ROLL_PUT_SIDE,1547.93994140625,-162.47342328251375,1
2018-03-06,ROLL_PUT_SIDE,1559.93994140625,-49.66174915660167,1
2018-03-06,COVER_CLOSE,1559.93994140625,-1754.5986194812926,1
2018-03-06,OPEN,1559.93994140625,491.7231105170955,1
2018-03-15,COVER_CLOSE,1592.280029296875,-361.45693187045254,1
2018-03-15,OPEN,1592.280029296875,79.15949467277659,1
2018-03-22,ROLL_CALL_SIDE,1515.8399658203125,211.37832904749814,1
2018-03-23,ROLL_CALL_SIDE,1513.1800537109375,-155.03437583193295,1
2018-03-26,ROLL_CALL_SIDE,1496.5899658203125,-21.715516016472407,1
2018-03-26,BUTTERFLY_CLOSE,1496.5899658203125,-2599.6770653431313,1
2018-03-26,OPEN,1496.5899658203125,254.93983524233056,1
2018-04-06,COVER_CLOSE,1511.3699951171875,-386.43321657632504,1
2018-04-06,OPEN,1511.3699951171875,386.0927034246869,1
2018-04-17,COVER_CLOSE,1545.1600341796875,-636.2564505859154,1
2018-04-17,OPEN,1545.1600341796875,441.6534684558426,1
2018-04-26,COVER_CLOSE,1573.760009765625,-453.28103197907546,1
2018-04-26,OPEN,1573.760009765625,286.9566568141982,1
2018-05-08,COVER_CLOSE,1608.93994140625,-407.3684735746357,1
2018-05-08,OPEN,1608.93994140625,101.23511375346254,1
2018-05-18,COVER_CLOSE,1621.6099853515625,-203.89175747668304,1
2018-05-18,OPEN,1621.6099853515625,22.07020516765516,1
2018-05-29,COVER_CLOSE,1572.300048828125,-417.7052286608521,1
2018-05-29,OPEN,1572.300048828125,-19.989102407264483,1
2018-06-08,COVER_CLOSE,1555.8699951171875,-163.34168890161936,1
2018-06-08,OPEN,1555.8699951171875,-131.61106652509224,1
2018-06-19,COVER_CLOSE,1564.8699951171875,-166.23129231720918,1
2018-06-19,OPEN,1564.8699951171875,-107.97117814120622,1
2018-06-29,COVER_CLOSE,1558.8800048828125,-183.5803995838446,1
2018-06-29,OPEN,1558.8800048828125,16.16361911622377,1
2018-07-10,COVER_CLOSE,1548.3800048828125,-190.79214160192632,1
2018-07-10,OPEN,1548.3800048828125,28.427334134374632,1
2018-07-19,COVER_CLOSE,1584.3399658203125,-423.348415873605,1
