date,equity,cash
2020-05-21,223567.0934343101,226617.49860275316
2020-05-22,224117.84391628162,226617.49860275316
2020-05-26,225499.6923291083,226664.8024621388
2020-05-27,224553.41482818595,227816.77592198105
2020-05-28,223710.2389869106,226812.9870808573
2020-05-29,224241.8840269839,226812.9870808573
2020-06-01,224498.14439920895,228168.82762025075
2020-06-02,226836.4411754234,228520.56156089398
2020-06-03,226961.21251792286,228771.0412831959
2020-06-04,226994.80751078908,229861.67963215106
2020-06-05,227078.00100186374,230356.34580202555
2020-06-08,228457.7912239616,230356.34580202555
2020-06-09,228444.8624025073,230467.5822415331
2020-06-10,228961.3012635852,230467.5822415331
2020-06-11,227996.5432056664,230932.0452154478
2020-06-12,229179.25803015503,230932.0452154478
2020-06-15,229575.14625641514,231050.22498695864
2020-06-16,230438.4254842749,230981.45940083248
2020-06-17,230578.80757194653,230981.45940083248
2020-06-18,229779.6218514685,233004.7238990369
2020-06-19,229282.77399609823,234023.11615532823
2020-06-22,230802.50245370032,234820.93523869663
2020-06-23,230013.64601366036,237212.33329257058
2020-06-24,229933.76858681953,240153.09860670072
2020-06-25,230962.5450198038,234055.8654537941
2020-06-26,230852.38539673656,234756.6714082742
2020-06-29,232879.81760506923,234756.6714082742
2020-06-30,233215.70897305853,234910.91920753403
2020-07-01,232943.10441736667,235725.9918066567
2020-07-02,232059.57222926212,234939.7807407177
2020-07-03,232491.63776126262,234939.7807407177
2020-07-06,232195.8792634947,236413.2483441561
2020-07-07,233218.91266907254,236413.2483441561
2020-07-08,233627.2310905652,236413.2483441561
2020-07-09,234321.313000874,237528.15934262238
2020-07-10,234526.5552897603,237528.15934262238
2020-07-13,236429.86180155305,237528.15934262238
2020-07-14,234494.249499773,239315.32024882548
2020-07-15,235330.8683893591,239315.32024882548
2020-07-16,235161.01927728657,238193.2478834069
2020-07-17,234304.2020352271,239712.37840394353
2020-07-20,234476.2817706745,242166.7879600834
2020-07-21,233072.8001772325,233072.8001772325
2020-07-22,233072.8001772325,233072.8001772325
2020-07-23,232845.25377954709,235599.89354808824
2020-07-24,233160.3086687049,235599.89354808824
2020-07-27,233757.78005134704,236082.33203527733
2020-07-28,232656.0081079003,237701.24649651843
2020-07-29,232429.29999423056,238694.26867735197
2020-07-30,230917.63192301997,233927.5919713345
2020-07-31,231264.94359212046,233927.5919713345
