strategy,ticker,entry_date,entry_px,exit_date,exit_px,hold_days,ret,entry_val,reason
A,SAAB-B.ST,2024-06-24,243.02,2024-08-05,228.71,42,-0.05889558425960906,0.7110756940482457,6wk-exit
A,ERIC-B.ST,2024-06-24,60.69,2024-08-05,64.52,42,0.06313523207929972,0.7110756940482457,6wk-exit
A,TEL2-B.ST,2024-07-15,94.02,2024-08-05,96.63,21,0.02783105035985467,0.7273493681378227,rotate
A,TREL-B.ST,2024-07-15,388.78,2024-08-05,350.3,21,-0.09896606067618352,0.7273493681378227,rotate
A,INVE-B.ST,2024-07-15,286.51,2024-08-05,264.25,21,-0.0777026285746909,0.7273493681378227,rotate
A,ADDT-B.ST,2024-07-15,320.72,2024-08-26,319.35,42,-0.0042919541227347535,0.6556614801806719,6wk-exit
A,LIFCO-B.ST,2024-08-05,290.06,2024-08-26,315.07,21,0.08621852599590363,0.6856662363568916,rotate
A,LATO-B.ST,2024-08-05,272.94,2024-08-26,286.92,21,0.0512461795028476,0.6856662363568916,rotate
A,SHB-A.ST,2024-08-05,77.52,2024-08-26,81.23,21,0.04792803943846957,0.6856662363568916,rotate
A,TELIA.ST,2024-08-05,27.31,2024-09-16,29.82,42,0.09213557566948483,0.6856662363568916,6wk-exit
A,BALD-B.ST,2024-08-05,78.38,2024-09-16,85.92,42,0.0961980247479346,0.6856662363568916,6wk-exit
A,ESSITY-B.ST,2024-08-26,284.63,2024-09-16,304.04,21,0.06818178650405415,0.7200229619504744,rotate
A,TEL2-B.ST,2024-08-26,102.77,2024-09-16,106.69,21,0.03819130037636875,0.7197039838076729,rotate
A,ERIC-B.ST,2024-08-26,71.02,2024-10-07,73.28,42,0.03184092385643722,0.7200229619504744,6wk-exit
A,SINCH.ST,2024-08-26,29.2,2024-10-07,28.04,42,-0.03972602113368362,0.7200229619504744,6wk-exit
A,ADDT-B.ST,2024-09-16,308.45,2024-10-07,294.19,21,-0.04624275226242602,0.742687540536265,rotate
A,GETI-B.ST,2024-09-16,212.2,2024-10-28,188.79,42,-0.11031386955108913,0.7426875405362648,6wk-exit
A,LIFCO-B.ST,2024-09-16,325.9,2024-10-28,322.95,42,-0.009063416950047642,0.7426875405362648,6wk-exit
A,SECU-B.ST,2024-09-16,113.51,2024-10-28,121.39,42,0.0694503154834405,0.7426875405362648,6wk-exit
A,TELIA.ST,2024-10-07,29.17,2024-10-28,29.03,21,-0.004927753780333055,0.732651162824447,rotate
A,TEL2-B.ST,2024-10-07,101.19,2024-10-28,105.76,21,0.04515801126933394,0.732651162824447,rotate
A,ASSA-B.ST,2024-10-07,324.01,2024-10-28,329.61,21,0.017272231936529492,0.700780004806944,rotate
A,WALL-B.ST,2024-10-28,52.02,2024-11-18,47.57,21,-0.08566036238908925,0.7314944294265345,rotate
A,CAST.ST,2024-10-28,136.03,2024-11-18,121.55,21,-0.10639828579165422,0.7314944294265346,rotate
A,FABG.ST,2024-10-28,84.18,2024-11-18,78.44,21,-0.06818172343560447,0.7314944294265345,rotate
A,BALD-B.ST,2024-10-28,84.48,2024-11-18,81.6,21,-0.03409096553469926,0.7314944294265345,rotate
A,EPI-A.ST,2024-10-28,211.72,2024-11-18,193.48,21,-0.08613547823261736,0.7218598989252076,rotate
A,ERIC-B.ST,2024-10-28,86.58,2024-12-09,87.44,42,0.009887889551426055,0.7314944294265345,6wk-exit
A,NIBE-B.ST,2024-11-18,47.13,2024-12-09,46.66,21,-0.009818227294195903,0.6785219248725699,rotate
A,SINCH.ST,2024-11-18,20.67,2024-12-09,21.89,21,0.05902270483074101,0.6785219248725699,rotate
A,SHB-A.ST,2024-11-18,86.77,2024-12-09,90.33,21,0.0410348241732732,0.67852192487257,rotate
A,SECU-B.ST,2024-11-18,127.65,2025-01-07,127.8,50,0.0011182371084623721,0.6785219248725699,6wk-exit
A,BOL.ST,2024-11-18,312.44,2025-01-07,317.63,50,0.016588412129471264,0.641473413651553,6wk-exit
A,SSAB-A.ST,2024-12-09,49.23,2025-01-07,42.32,29,-0.14038749790870586,0.7018729514837801,rotate
A,SKF-B.ST,2024-12-09,211.74,2025-01-28,210.61,50,-0.005359517451022033,0.7018729514837801,6wk-exit
A,SKA-B.ST,2024-12-09,211.01,2025-01-28,210.11,50,-0.004295561657901792,0.7018729514837801,6wk-exit
A,ABB.ST,2024-12-09,644.92,2025-01-28,606.83,50,-0.05906008001836016,0.7018729514837801,6wk-exit
A,ERIC-B.ST,2025-01-07,87.38,2025-01-28,80.97,21,-0.07337250435767173,0.661051748496191,rotate
A,VOLV-B.ST,2025-01-07,256.61,2025-01-28,258.86,21,0.008768791797209907,0.6197180049163312,rotate
A,SHB-A.ST,2025-01-07,91.14,2025-02-18,102.21,42,0.12144373641044348,0.661051748496191,6wk-exit
A,SWED-A.ST,2025-01-28,201.74,2025-02-18,216.13,21,0.07134008207926068,0.6633885946807595,rotate
A,SECU-B.ST,2025-01-28,131.74,2025-02-18,149.54,21,0.13506689770666047,0.6633885946807595,rotate
A,HEXA-B.ST,2025-01-28,119.11,2025-03-11,111.28,42,-0.06571789415213003,0.6633885946807595,6wk-exit
A,TREL-B.ST,2025-01-28,386.48,2025-03-11,383.42,42,-0.007924586495678398,0.6633885946807595,6wk-exit
A,KINV-B.ST,2025-01-28,86.46,2025-03-11,73.25,42,-0.15278740717503703,0.6270695019211847,6wk-exit
A,EQT.ST,2025-02-18,359.81,2025-03-11,290.2,21,-0.19347829442676245,0.7167284070573597,rotate
A,LIFCO-B.ST,2025-02-18,400.14,2025-03-11,347.95,21,-0.13041344756901896,0.7167284070573597,rotate
A,GETI-B.ST,2025-02-18,201.83,2025-04-01,211.82,42,0.04950495798051224,0.7167284070573597,6wk-exit
A,SINCH.ST,2025-03-11,22.14,2025-04-01,21.15,21,-0.044715438049245826,0.6280401294267244,rotate
A,SSAB-A.ST,2025-03-11,62.92,2025-04-24,56.0,44,-0.10998810878079812,0.6280401294267244,6wk-exit
A,SAAB-B.ST,2025-03-11,381.1,2025-04-24,423.93,44,0.11238847296152721,0.6280401294267244,6wk-exit
A,SWED-A.ST,2025-03-11,216.88,2025-04-24,203.18,44,-0.06315636615588305,0.6280401294267244,6wk-exit
A,VOLV-B.ST,2025-03-11,282.35,2025-04-24,248.68,44,-0.11922462666272948,0.5302930314053681,6wk-exit
