date,gross,outcome
2025-11-10,-0.0004624806290373096,EOD
2025-11-11,0.006766083505988174,EOD
2025-11-12,0.0022488227449117826,EOD
2025-11-19,-0.0038257468683051687,STOP
2025-11-20,-0.003987418675460819,STOP
2025-11-21,0.002051126805499237,EOD
2025-11-24,-0.0032341451436480595,EOD
2025-11-25,0.007891734613508117,EOD
2025-11-26,0.001281756881132079,EOD
2025-12-01,-0.006293998363544606,STOP
2025-12-02,-0.0014987162430871726,EOD
2025-12-04,0.0021835304410675604,EOD
2025-12-05,-0.0005938185893273884,EOD
2025-12-08,-0.002880153166369359,STOP
2025-12-10,0.0008515629679739511,EOD
2025-12-11,0.004900318736203113,EOD
2025-12-12,-0.005014543040858466,STOP
2025-12-15,-0.0006423982131701367,EOD
2025-12-16,-0.0029268435885392297,STOP
2025-12-18,0.011134077170615653,EOD
2025-12-19,0.00034098707635776826,EOD
2025-12-23,-0.0018310337352643868,EOD
2025-12-29,0.0015844798004656102,EOD
2025-12-30,0.005139734374006721,EOD
2026-01-02,-0.005759804664783985,STOP
2026-01-05,-0.0027448264543745715,EOD
2026-01-07,0.0002972614122793704,EOD
2026-01-09,0.006763195208773443,EOD
2026-01-12,0.0013073252153945614,EOD
2026-01-13,-0.0014646278924399514,EOD
2026-01-15,0.0055348498119021095,EOD
2026-01-16,0.0003154740165844938,EOD
2026-01-20,-0.004208354932669911,STOP
2026-01-21,-0.003987777775497636,STOP
2026-01-22,-0.005991446259537403,STOP
2026-01-23,0.00013620879471254455,EOD
2026-01-26,-0.0027719969324271343,STOP
2026-01-27,0.0006754639641259885,EOD
2026-01-29,-0.00627893320667805,STOP
2026-02-04,0.0037884629199869124,EOD
2026-02-06,0.008462710543110097,EOD
2026-02-10,-0.0035144195238396847,STOP
2026-02-11,0.0026659810545706097,EOD
2026-02-13,-0.0040686730646641855,STOP
2026-02-16,-0.0026757417692720997,STOP
2026-02-17,-0.004349216526413624,STOP
2026-02-18,0.0037756845696998997,EOD
2026-02-19,-0.003487618160679218,STOP
2026-02-20,0.0031710859309763695,EOD
2026-02-23,-0.003190725548558482,STOP
2026-02-24,0.003509528462685818,EOD
2026-02-25,-0.004787651509834179,STOP
2026-02-26,-0.003724624257248732,STOP
2026-02-27,-0.005083097896739552,STOP
2026-03-02,-0.003952161599905968,EOD
2026-03-04,0.0042028842265484645,EOD
2026-03-05,-0.004893446492682307,STOP
2026-03-09,0.008059228744489388,EOD
2026-03-10,0.002198562437498497,EOD
2026-03-11,-0.0019830367979516428,EOD
2026-03-12,-0.006643224450029517,STOP
2026-03-13,-0.007718952912421084,STOP
2026-03-16,-0.0001448809146605834,EOD
2026-03-17,-0.0009552760285491679,EOD
2026-03-18,-0.007647993666975994,STOP
2026-03-23,0.027293126452414773,EOD
2026-03-24,0.001353105458996584,EOD
2026-03-25,-0.004937786611706074,STOP
2026-03-30,0.007449124737416879,EOD
2026-03-31,0.002616425765697983,EOD
2026-04-02,-0.001802390488795047,EOD
2026-04-07,-0.007842678016455107,STOP
2026-04-08,-0.002475612817083306,EOD
2026-04-09,0.0008903610795081285,EOD
2026-04-10,0.0030001485034927278,EOD
2026-04-13,0.005694705300207437,EOD
2026-04-14,-0.0028334678720020046,STOP
2026-04-15,-0.002029411272074677,STOP
2026-04-16,-0.0056017480463901315,STOP
2026-04-17,0.019042357706412716,EOD
2026-04-20,-0.0008420900824395172,STOP
2026-04-21,-0.003535746531420747,STOP
2026-04-23,-0.0007658239045972293,EOD
2026-04-24,-0.005068284743843798,STOP
2026-04-27,-0.004654120060667344,STOP
2026-04-28,-0.0059761917344282045,STOP
2026-04-29,-0.005867274899880148,STOP
2026-04-30,0.010650175815254403,EOD
2026-05-05,0.0027573573353434355,EOD
2026-05-06,0.009431175202093245,EOD
2026-05-11,0.0023298416567487656,EOD
2026-05-12,-0.00501825891579144,STOP
2026-05-18,0.010029970320183823,EOD
2026-05-20,0.01075171342474679,EOD
2026-05-21,-0.006011013935068532,STOP
2026-05-22,0.0005509485733452557,EOD
2026-05-25,0.002508404134774489,EOD
2026-05-29,0.0027172859800974614,EOD
2026-06-01,-0.006285167271905867,STOP
2026-06-02,0.0019686555202929057,EOD
2026-06-05,0.0018058962371862997,EOD
2026-06-08,0.00636144767284752,EOD
2026-06-09,-0.00526598379673171,STOP
2026-06-11,-0.0035443198356875927,EOD
2026-06-12,-0.007650622431831344,STOP
2026-06-16,-0.004426408809046545,STOP
2026-06-17,0.0038019757032945467,EOD
2026-06-22,0.0034615787713789814,EOD
2026-06-23,-0.003314648346484983,EOD
2026-06-24,-0.004630385853359509,STOP
2026-06-25,0.0036521256704069582,EOD
2026-06-26,-0.0030522262812795464,STOP
2026-06-29,-0.002854910661450605,STOP
2026-06-30,0.002795289257752298,EOD
2026-07-02,0.006632749530934623,EOD
2026-07-03,0.003265068429600504,EOD
2026-07-07,-0.004974858775721458,STOP
