top_n,mom_w,reb_w,buf,stop,final,cagr,sharpe,max_dd,monthly,fees,trades,buys,stops,exits
6,12,1,0,0.1,302915.1338141204,0.10717409714214532,0.7011883089796843,-0.2456455637615822,1553.3776120390567,67356.9003712892,1542,774,32,736
6,8,2,8,0.15,301886.3906296874,0.10604282004811427,0.6782861691762654,-0.3195061054433096,1534.6945591386389,29295.225550732597,630,318,15,297
8,12,2,4,0.15,299838.66777027893,0.10613632481640645,0.7267620801536414,-0.2710583606320579,1529.8263204873906,32459.338115798946,818,413,14,391
8,12,2,4,0.1,298526.3773215313,0.10569071017275178,0.7237934740889512,-0.2727395775681911,1519.7803344376532,32754.57207460211,826,417,44,365
8,12,1,8,0.15,298513.59234278294,0.10568636003254239,0.7217437968167688,-0.2368214996468192,1519.6824615023781,31128.15029485129,786,397,6,383
6,8,4,0,0.1,299633.43667784694,0.10528728586799607,0.679533406112836,-0.2660704789179211,1517.568114106385,41517.88118943217,884,445,49,390
6,12,4,8,0.1,298051.4798827438,0.10552901072514209,0.6876555600458555,-0.29798221697711214,1516.1448488257079,21846.26445529173,440,223,51,166
4,26,2,0,0.1,291184.00052617653,0.1059046521966871,0.6076922888476441,-0.3075405292220238,1500.5577658626864,34352.57197691349,636,320,23,293
4,26,2,0,0.15,287712.94873204996,0.10465626329619604,0.6012278084842851,-0.3058296944795853,1473.314305578074,34059.702716199885,638,321,8,309
8,12,1,8,0.1,290673.17006469914,0.1029862150649481,0.7058579540416559,-0.2371938681886755,1459.6616232002716,31503.825421560294,798,403,35,360
6,8,2,4,0.15,291837.72316982655,0.10263251716848187,0.6673505510492935,-0.28018511329457896,1458.3068678775214,37343.04978129958,840,423,14,403
8,8,2,8,0.15,291533.35231706523,0.10252756425820175,0.68618539842034,-0.28114119025336937,1455.9931096779903,29325.89768007371,740,374,16,350
6,8,2,4,0.1,287974.96611238,0.10129312071839824,0.661516302156756,-0.28301149669086967,1428.9430646966946,37496.32997679233,846,426,37,383
8,8,2,8,0.1,287851.7948523293,0.1012501435151536,0.6801597184844015,-0.29105323531535576,1428.0067447097335,29584.82207767867,748,378,46,324
4,8,2,0,0.1,286863.4083120126,0.10090466697342837,0.631864565832836,-0.2540998479699189,1420.4932543698512,57263.5059898595,1006,505,31,470
6,12,4,8,0.15,283575.35662314406,0.10048415526318566,0.6426338669229765,-0.2990668246224516,1405.325683404665,20307.83877041817,424,215,24,185
4,8,2,0,0.15,282842.63024599093,0.09948801628096193,0.6235085025738312,-0.26266582409951,1389.9282113167706,56801.2656871605,1006,505,10,491
6,8,1,8,0.1,278753.26445504755,0.09802830181527522,0.6393211012465017,-0.23492610642503842,1358.8417799326949,33037.1988628235,776,391,37,348
8,26,1,8,0.1,270254.39240225597,0.09816242823180388,0.6833785380357159,-0.24186823147448733,1336.286247742049,28402.440209781646,724,366,29,329
6,26,1,8,0.1,270159.7880300178,0.09812621591491166,0.6487489457201495,-0.2378311402375256,1335.5437205166754,22651.763457904835,548,277,24,247
8,26,1,8,0.15,269938.60399015615,0.09804150705237302,0.682286716877526,-0.2418823611010299,1333.8076995746203,28401.863902490615,724,366,7,351
8,12,4,4,0.1,271620.1255085497,0.09613827368821637,0.6642157402084895,-0.29592897411658203,1313.8047208668213,26056.69347166728,660,334,63,263
6,26,1,8,0.15,266831.0252116337,0.09684467435623301,0.642002886784406,-0.2365354334573373,1309.4170525732598,22289.652779279706,542,274,7,261
6,26,2,8,0.1,265998.8341452074,0.09652202670294296,0.630630625597278,-0.3276149481053766,1302.8853827474861,18448.91418967723,448,227,37,184
8,8,1,8,0.1,269961.7709519787,0.09482308058873601,0.6538873274994671,-0.24931129061926638,1292.010839997715,35937.67389131357,916,462,44,410
6,8,1,8,0.15,269888.7837675762,0.09479607598550022,0.6203584506744466,-0.2425571830549026,1291.4560079734267,32478.085340623864,770,388,9,373
6,12,2,8,0.15,267696.7069668751,0.0946741515543077,0.6256315227216315,-0.2829505397938108,1283.7697480644522,22939.45127058221,540,273,14,253
