date,action,ticker,name,shares,price,value,fee,reason,cash_after,portfolio_value
2013-07-01,SIP,,monthly deposit,,,25000.0,0,contribution,234112,1015523
2013-08-01,SIP,,monthly deposit,,,25000.0,0,contribution,259112,1105515
2013-09-02,SIP,,monthly deposit,,,25000.0,0,contribution,284112,1121264
2013-10-01,SIP,,monthly deposit,,,25000.0,0,contribution,309112,1187513
2013-11-01,SIP,,monthly deposit,,,25000.0,0,contribution,334112,1245317
2013-12-02,SIP,,monthly deposit,,,25000.0,0,contribution,359112,1293901
2014-01-02,SIP,,monthly deposit,,,25000.0,0,contribution,384112,1347852
2014-02-03,SIP,,monthly deposit,,,25000.0,0,contribution,409112,1321737
2014-03-03,SIP,,monthly deposit,,,25000.0,0,contribution,434112,1375533
2014-04-01,SIP,,monthly deposit,,,25000.0,0,contribution,459112,1429080
2014-05-02,SIP,,monthly deposit,,,25000.0,0,contribution,484112,1475377
2014-06-02,SIP,,monthly deposit,,,25000.0,0,contribution,509112,1568235
2014-07-01,SIP,,monthly deposit,,,25000.0,0,contribution,534112,1590729
2014-07-21,SELL,ADDT-B.ST,Addtech,9216,18.76,172920.0,259,"trailing stop (entry 9.80, P/L +91.5%)",706772,1536897
2014-07-25,BUY,SAND.ST,Sandvik,4016,63.71,255857.0,384,dip to support,450532,1535052
2014-08-01,SIP,,monthly deposit,,,25000.0,0,contribution,475532,1528651
2014-09-01,SIP,,monthly deposit,,,25000.0,0,contribution,500532,1576106
2014-09-24,SELL,SAND.ST,Sandvik,4016,58.21,233753.0,351,"support broke (entry 63.71, P/L -8.6%)",733934,1556770
2014-10-01,SIP,,monthly deposit,,,25000.0,0,contribution,758934,1568290
2014-10-17,BUY,ERIC-B.ST,Ericsson,4292,59.35,254712.0,382,dip to support,503840,1528098
2014-11-03,SIP,,monthly deposit,,,25000.0,0,contribution,528840,1605001
2014-12-01,SIP,,monthly deposit,,,25000.0,0,contribution,553840,1685136
2014-12-11,SELL,ALFA.ST,Alfa Laval,1542,112.33,173212.0,260,"trailing stop (entry 106.84, P/L +5.1%)",726792,1673691
2015-01-02,SIP,,monthly deposit,,,25000.0,0,contribution,751792,1702476
2015-01-23,BUY,SWED-A.ST,Swedbank,3448,85.09,293384.0,440,dip to support,457968,1760208
2015-02-02,SIP,,monthly deposit,,,25000.0,0,contribution,482968,1822307
2015-03-02,SIP,,monthly deposit,,,25000.0,0,contribution,507968,1929183
2015-04-01,SIP,,monthly deposit,,,25000.0,0,contribution,532968,1958016
2015-05-04,SIP,,monthly deposit,,,25000.0,0,contribution,557968,1969613
2015-06-01,SIP,,monthly deposit,,,25000.0,0,contribution,582968,2029390
2015-06-29,SELL,ERIC-B.ST,Ericsson,4292,65.01,279008.0,419,"trailing stop (entry 59.35, P/L +9.5%)",861557,1951402
2015-07-01,SIP,,monthly deposit,,,25000.0,0,contribution,886557,1986958
2015-07-03,BUY,BOL.ST,Boliden,3170,103.87,329282.0,494,dip to support,556781,1975616
2015-07-07,SELL,BOL.ST,Boliden,3170,98.06,310836.0,466,"support broke (entry 103.87, P/L -5.6%)",867151,1934504
2015-07-10,BUY,ABB.ST,ABB,2060,161.06,331775.0,498,dip to support,534878,1990769
2015-08-03,SIP,,monthly deposit,,,25000.0,0,contribution,559878,2076891
2015-08-21,SELL,ABB.ST,ABB,2060,149.66,308295.0,462,"support broke (entry 161.06, P/L -7.1%)",867711,1971138
2015-08-28,BUY,ASSA-B.ST,Assa Abloy,2475,134.15,332013.0,498,dip to support,535200,1992360
2015-09-01,SIP,,monthly deposit,,,25000.0,0,contribution,560200,1980899
2015-10-01,SIP,,monthly deposit,,,25000.0,0,contribution,585200,1935044
2015-10-15,SELL,TELIA.ST,Telia,4472,21.98,98311.0,147,"trailing stop (entry 18.87, P/L +16.5%)",683364,1973483
2015-10-23,BUY,ADDT-B.ST,Addtech,13883,24.62,341762.0,513,dip to support,341089,2050176
2015-11-02,SIP,,monthly deposit,,,25000.0,0,contribution,366089,2094356
2015-12-01,SIP,,monthly deposit,,,25000.0,0,contribution,391089,2196270
2016-01-04,SIP,,monthly deposit,,,25000.0,0,contribution,416089,2124205
2016-01-04,SELL,HM-B.ST,H&M,712,183.44,130611.0,196,"trailing stop (entry 125.83, P/L +45.8%)",546503,2124009
2016-01-20,SELL,INVE-B.ST,Investor,3866,53.6,207209.0,311,"trailing stop (entry 23.36, P/L +129.5%)",753402,2000288
2016-01-20,SELL,SWED-A.ST,Swedbank,3448,77.51,267254.0,401,"trailing stop (entry 85.09, P/L -8.9%)",1020254,1999887
2016-01-22,BUY,SAAB-B.ST,SAAB,6513,51.76,337086.0,506,dip to support,682663,2022118
2016-02-01,SIP,,monthly deposit,,,25000.0,0,contribution,707663,2084316
2016-02-09,SELL,ADDT-B.ST,Addtech,13883,22.37,310630.0,466,"trailing stop (entry 24.62, P/L -9.1%)",1017827,1945884
2016-02-11,SELL,ASSA-B.ST,Assa Abloy,2475,123.65,306029.0,459,"trailing stop (entry 134.15, P/L -7.8%)",1323397,1955842
2016-03-01,SIP,,monthly deposit,,,25000.0,0,contribution,1348397,2064306
2016-04-01,SIP,,monthly deposit,,,25000.0,0,contribution,1373397,2072150
2016-05-02,SIP,,monthly deposit,,,25000.0,0,contribution,1398397,2143365
2016-05-27,BUY,EVO.ST,Evolution,6446,56.2,362260.0,543,dip to support,1035594,2173133
2016-05-27,BUY,INVE-B.ST,Investor,6105,59.33,362222.0,543,dip to support,672828,2172590
2016-06-01,SIP,,monthly deposit,,,25000.0,0,contribution,697828,2182393
2016-06-16,SELL,EVO.ST,Evolution,6446,47.22,304399.0,457,"support broke (entry 56.20, P/L -16.0%)",1001770,2051260
2016-07-01,SIP,,monthly deposit,,,25000.0,0,contribution,1026770,2154774
2016-07-01,BUY,HEXA-B.ST,Hexagon,8261,43.47,359107.0,539,dip to support,667125,2154236
2016-07-01,BUY,NIBE-B.ST,NIBE,23045,15.58,359125.0,539,dip to support,307461,2153697
2016-08-01,SIP,,monthly deposit,,,25000.0,0,contribution,332461,2218496
2016-09-01,SIP,,monthly deposit,,,25000.0,0,contribution,357461,2310519
2016-10-03,SIP,,monthly deposit,,,25000.0,0,contribution,382461,2382579
2016-11-01,SIP,,monthly deposit,,,25000.0,0,contribution,407461,2315909
2016-11-08,SELL,HEXA-B.ST,Hexagon,8261,42.49,351024.0,527,"trailing stop (entry 43.47, P/L -2.3%)",757958,2288032
2016-11-11,BUY,ALFA.ST,Alfa Laval,3478,110.13,383032.0,575,dip to support,374352,2298275
2016-12-01,SIP,,monthly deposit,,,25000.0,0,contribution,399352,2368271
2017-01-02,SIP,,monthly deposit,,,25000.0,0,contribution,424352,2531791
2017-02-01,SIP,,monthly deposit,,,25000.0,0,contribution,449352,2610300
2017-03-01,SIP,,monthly deposit,,,25000.0,0,contribution,474352,2707226
2017-03-03,BUY,SKA-B.ST,Skanska,3094,144.31,446504.0,670,dip to support,27178,2678705
2017-04-03,SIP,,monthly deposit,,,25000.0,0,contribution,52178,2752684
2017-05-02,SIP,,monthly deposit,,,25000.0,0,contribution,77178,3101638
2017-06-01,SIP,,monthly deposit,,,25000.0,0,contribution,102178,3138397
2017-07-03,SIP,,monthly deposit,,,25000.0,0,contribution,127178,3143960
2017-07-21,SELL,SKA-B.ST,Skanska,3094,131.46,406751.0,610,"support broke (entry 144.31, P/L -8.9%)",533319,3077577
2017-08-01,SIP,,monthly deposit,,,25000.0,0,contribution,558319,3085921
2017-08-04,BUY,SAND.ST,Sandvik,5149,100.96,519842.0,780,dip to support,37697,3118739
2017-08-18,SELL,SAAB-B.ST,SAAB,6513,76.43,497797.0,747,"trailing stop (entry 51.76, P/L +47.7%)",534748,2998529
2017-08-18,SELL,NIBE-B.ST,NIBE,23045,16.43,378715.0,568,"trailing stop (entry 15.58, P/L +5.5%)",912895,2997961
2017-08-18,BUY,SEB-A.ST,SEB,8312,60.11,499631.0,749,dip to support,412514,2997212
2017-09-01,SIP,,monthly deposit,,,25000.0,0,contribution,437514,3034273
2017-10-02,SIP,,monthly deposit,,,25000.0,0,contribution,462514,3224908
2017-11-01,SIP,,monthly deposit,,,25000.0,0,contribution,487514,3413843
2017-12-01,SIP,,monthly deposit,,,25000.0,0,contribution,512514,3292025
2018-01-02,SIP,,monthly deposit,,,25000.0,0,contribution,537514,3330575
2018-02-01,SIP,,monthly deposit,,,25000.0,0,contribution,562514,3465529
2018-02-06,SELL,SEB-A.ST,SEB,8312,55.03,457449.0,686,"support broke (entry 60.11, P/L -8.4%)",1019277,3270021
2018-02-16,BUY,TELIA.ST,Telia,24606,22.44,552171.0,828,dip to support,466278,3312253
2018-03-01,SIP,,monthly deposit,,,25000.0,0,contribution,491278,3378703
2018-04-03,SIP,,monthly deposit,,,25000.0,0,contribution,516278,3469387
2018-05-02,SIP,,monthly deposit,,,25000.0,0,contribution,541278,3800552
2018-06-01,SIP,,monthly deposit,,,25000.0,0,contribution,566278,3829977
2018-07-02,SIP,,monthly deposit,,,25000.0,0,contribution,591278,3748489
2018-08-01,SIP,,monthly deposit,,,25000.0,0,contribution,616278,3912240
2018-09-03,SIP,,monthly deposit,,,25000.0,0,contribution,641278,4077641
2018-10-01,SIP,,monthly deposit,,,25000.0,0,contribution,666278,4033335
2018-10-19,BUY,TEL2-B.ST,Tele2,10074,62.31,627702.0,942,dip to support,37634,3765302
2018-10-23,SELL,SCA-B.ST,SCA,9321,74.08,690487.0,1036,"trailing stop (entry 9.69, P/L +664.5%)",727085,3661748
2018-10-26,BUY,SEB-A.ST,SEB,10471,58.26,610040.0,915,dip to support,116131,3659605
2018-11-01,SIP,,monthly deposit,,,25000.0,0,contribution,141131,3784538
2018-11-12,SELL,TEL2-B.ST,Tele2,10074,56.09,565016.0,848,"support broke (entry 62.31, P/L -10.0%)",705299,3713681
2018-11-16,BUY,NIBE-B.ST,NIBE,26807,22.63,606770.0,910,dip to support,97619,3639824
2018-11-19,SELL,ALFA.ST,Alfa Laval,3478,173.31,602772.0,904,"trailing stop (entry 110.13, P/L +57.4%)",699487,3607693
2018-11-20,SELL,SAND.ST,Sandvik,5149,105.37,542558.0,814,"trailing stop (entry 100.96, P/L +4.4%)",1241231,3535943
2018-12-03,SIP,,monthly deposit,,,25000.0,0,contribution,1266231,3673416
2018-12-07,BUY,ERIC-B.ST,Ericsson,9409,63.48,597254.0,896,dip to support,668081,3582689
2018-12-14,BUY,SHB-A.ST,Handelsbanken,11337,53.7,608836.0,913,dip to support,58331,3652304
2018-12-27,SELL,SEB-A.ST,SEB,10471,53.29,557965.0,837,"support broke (entry 58.26, P/L -8.5%)",615459,3435220
2019-01-02,SIP,,monthly deposit,,,25000.0,0,contribution,640459,3528392
2019-01-04,BUY,SWED-A.ST,Swedbank,5168,114.97,594174.0,891,dip to support,45393,3564336
2019-02-01,SIP,,monthly deposit,,,25000.0,0,contribution,70393,3651966
2019-02-21,SELL,SWED-A.ST,Swedbank,5168,93.2,481672.0,723,"trailing stop (entry 114.97, P/L -18.9%)",551343,3708046
2019-03-01,SIP,,monthly deposit,,,25000.0,0,contribution,576343,3739034
2019-04-01,SIP,,monthly deposit,,,25000.0,0,contribution,601343,3862513
2019-05-02,SIP,,monthly deposit,,,25000.0,0,contribution,626343,4025509
2019-06-03,SIP,,monthly deposit,,,25000.0,0,contribution,651343,3881369
2019-07-01,SIP,,monthly deposit,,,25000.0,0,contribution,676343,4098754
2019-08-01,SIP,,monthly deposit,,,25000.0,0,contribution,701343,4110954
2019-08-13,SELL,SHB-A.ST,Handelsbanken,11337,46.63,528683.0,793,"trailing stop (entry 53.70, P/L -13.2%)",1229233,3956571
2019-08-23,BUY,EVO.ST,Evolution,3645,176.16,642093.0,963,dip to support,586177,3851878
2019-08-28,SELL,ERIC-B.ST,Ericsson,9409,60.69,571073.0,857,"trailing stop (entry 63.48, P/L -4.4%)",1156394,3840626
